,1. open,2. high,3. low,4. close,5. volume
2023-09-21 13:15:00,432.594,432.967,432.586,432.842,1019977.0
2023-09-21 13:20:00,432.833,432.952,432.681,432.822,655018.0
2023-09-21 13:25:00,432.823,433.061,432.795,432.837,651851.0
2023-09-21 13:30:00,432.843,433.106,432.795,432.812,561543.0
2023-09-21 13:35:00,432.812,433.146,432.776,432.832,791506.0
2023-09-21 13:40:00,432.813,433.066,432.576,432.731,710634.0
2023-09-21 13:45:00,432.733,432.897,432.656,432.772,297981.0
2023-09-21 13:50:00,432.773,432.927,432.626,432.752,475245.0
2023-09-21 13:55:00,432.755,432.787,432.516,432.663,427397.0
2023-09-21 14:00:00,432.673,432.738,432.307,432.334,530205.0
2023-09-21 14:05:00,432.325,432.628,432.267,432.279,944039.0
2023-09-21 14:10:00,432.285,432.558,432.129,432.155,864902.0
2023-09-21 14:15:00,432.156,432.23,431.944,432.045,807860.0
2023-09-21 14:20:00,432.046,432.13,431.909,432.035,663502.0
2023-09-21 14:25:00,432.026,432.05,431.56,431.577,953291.0
2023-09-21 14:30:00,431.578,431.702,431.381,431.498,897082.0
2023-09-21 14:35:00,431.498,432.021,431.421,431.796,1383330.0
2023-09-21 14:40:00,431.797,431.981,431.729,431.836,932004.0
2023-09-21 14:45:00,431.837,431.911,431.57,431.577,647809.0
2023-09-21 14:50:00,431.578,431.642,431.361,431.617,1001536.0
2023-09-21 14:55:00,431.613,431.652,431.311,431.328,830962.0
2023-09-21 15:00:00,431.329,431.642,431.167,431.478,1005771.0
2023-09-21 15:05:00,431.468,431.523,431.112,431.259,994266.0
2023-09-21 15:10:00,431.269,431.383,430.838,430.945,1786354.0
2023-09-21 15:15:00,430.942,430.965,430.604,430.771,1200653.0
2023-09-21 15:20:00,430.776,431.025,430.714,430.845,2073334.0
2023-09-21 15:25:00,430.851,430.92,430.256,430.362,1852493.0
2023-09-21 15:30:00,430.363,430.537,430.011,430.223,2478955.0
2023-09-21 15:35:00,430.213,430.656,430.186,430.412,1722499.0
2023-09-21 15:40:00,430.403,430.631,430.136,430.467,3041714.0
2023-09-21 15:45:00,430.462,430.626,430.295,430.352,2211037.0
2023-09-21 15:50:00,430.348,430.352,429.897,430.153,6691028.0
2023-09-21 15:55:00,430.164,430.233,429.479,429.665,8377996.0
2023-09-22 09:30:00,430.701,430.895,430.265,430.392,1810474.0
2023-09-22 09:35:00,430.393,430.716,430.295,430.412,1253679.0
2023-09-22 09:40:00,430.413,430.537,430.026,430.223,1504707.0
2023-09-22 09:45:00,430.185,430.766,430.086,430.591,1270057.0
2023-09-22 09:50:00,430.592,430.626,429.917,430.093,1049902.0
2023-09-22 09:55:00,430.104,430.731,430.036,430.704,1069872.0
2023-09-22 10:00:00,430.716,430.96,430.305,430.815,934104.0
2023-09-22 10:05:00,430.821,431.364,430.777,431.089,1239199.0
2023-09-22 10:10:00,431.1,431.165,430.435,430.449,1033573.0
2023-09-22 10:15:00,430.452,430.706,430.206,430.696,1160366.0
2023-09-22 10:20:00,430.701,431.204,430.455,431.104,992645.0
2023-09-22 10:25:00,431.115,431.164,430.604,431.005,950406.0
2023-09-22 10:30:00,431.015,431.682,430.992,431.667,1362564.0
2023-09-22 10:35:00,431.687,431.841,431.481,431.537,1778600.0
2023-09-22 10:40:00,431.538,431.582,431.212,431.531,1013444.0
2023-09-22 10:45:00,431.538,431.732,431.471,431.547,657227.0
2023-09-22 10:50:00,431.563,431.831,431.372,431.622,838784.0
2023-09-22 10:55:00,431.628,432.06,431.62,431.906,1218246.0
2023-09-22 11:00:00,431.916,432.045,431.52,431.587,799568.0
2023-09-22 11:05:00,431.598,431.841,431.381,431.393,917603.0
2023-09-22 11:10:00,431.399,431.473,431.182,431.428,716064.0
2023-09-22 11:15:00,431.428,431.762,431.369,431.552,677159.0
2023-09-22 11:20:00,431.553,431.762,431.441,431.697,447466.0
